ts,prompt_id,variant,compression_mode,compression_outcome,compression_rejection_reason,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,attempted_token_count,effective_token_count,token_delta,attempted_token_delta,attempted_tokens_saved,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260309T065133Z,p01_the_opposite_of_cold_is,raw,none,none,,True,6.335186004638672,4.5175981521606445,4.418461322784424,1.0,0.5637600530133643,0.009292866432483301,0.3,False,1.0,True,1.0,5,,5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T065133Z,p01_the_opposite_of_cold_is,compressed,compressed,compressed_shorter,,True,5.50913143157959,7.29202938079834,7.165345191955566,1.0,0.7776441597625884,0.005928542162908695,0.6,False,0.0,False,,5,4,5,0.0,1.0,1,0.0,1.0,-0.826054573059082,2.7744312286376953,0.2138841067492241,0.3
20260309T065133Z,p02_who_was_the_president_of_france_in_1,raw,none,none,,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,,10,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T065133Z,p02_who_was_the_president_of_france_in_1,compressed,compressed,compressed_shorter,,True,5.3089094161987305,7.348896503448486,7.227702617645264,1.0,0.6694959562220225,0.009989450311075277,0.6,False,0.6,True,0.48571428571428577,10,9,8,2.0,1.0,1,2.0,0.8,-0.841437816619873,0.5340604782104492,-0.0032616871987768414,-0.4
20260309T065133Z,p03_a_dragon_that_guards_a_castle,raw,none,none,,True,4.049001693725586,2.6756231784820557,2.59438157081604,1.0,0.8836107008958598,0.0065450291391923295,0.9,True,1.0,True,1.0,6,,6,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T065133Z,p03_a_dragon_that_guards_a_castle,compressed,raw_fallback,raw_fallback,coverage_below_threshold,True,4.049001693725586,2.6756231784820557,2.59438157081604,1.0,0.8836107008958598,0.0065450291391923295,0.9,True,1.0,True,1.0,6,6,6,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0
