ts,prompt_id,variant,compression_mode,compression_outcome,compression_rejection_reason,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,attempted_token_count,effective_token_count,token_delta,attempted_token_delta,attempted_tokens_saved,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260309T073122Z,p01_king_is_to_queen_as_man_is_to,raw,none,none,,True,6.467029094696045,3.9511680603027344,3.761237382888794,1.0,0.89501325235953,0.010595126959253437,0.1,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p01_king_is_to_queen_as_man_is_to,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,6.467029094696045,3.9511680603027344,3.761237382888794,1.0,0.89501325235953,0.010595126959253437,0.1,False,1.0,True,1.0,8,7,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p02_the_opposite_of_hot_is,raw,none,none,,True,5.8220343589782715,4.229660511016846,4.137878894805908,1.0,0.5615887198581907,0.009096306200814364,0.3,False,1.0,True,1.0,5,,5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p03_who_was_the_president_of_france_in_1,raw,none,none,,True,6.1503472328186035,6.8148322105407715,6.687977313995361,1.0,0.6727573052910333,0.010423309198169561,1.0,True,1.0,True,1.0,10,,10,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p03_who_was_the_president_of_france_in_1,compressed,raw_fallback,raw_fallback,non_compressive_short_prompt,True,6.1503472328186035,6.8148322105407715,6.687977313995361,1.0,0.6727573052910333,0.010423309198169561,1.0,True,1.0,True,1.0,10,9,10,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p04_if_all_roses_are_flowers_and_some_fl,raw,none,none,,True,4.916565895080566,8.636598587036133,8.530166625976562,1.0,0.4327612542719988,0.013001641147351762,0.9,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p04_if_all_roses_are_flowers_and_some_fl,compressed,raw_fallback,raw_fallback,non_compressive_short_prompt,True,4.916565895080566,8.636598587036133,8.530166625976562,1.0,0.4327612542719988,0.013001641147351762,0.9,True,1.0,True,1.0,19,21,19,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p05_summarize_the_sentence_the_quick_bro,raw,none,none,,True,2.8439908027648926,3.054476022720337,2.926752805709839,1.0,0.4378596255446559,0.010422927645369735,1.0,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p05_summarize_the_sentence_the_quick_bro,compressed,compressed,compressed_shorter,,True,3.4373650550842285,3.7498106956481934,3.6380116939544678,1.0,0.3845898925419658,0.011201643972572034,1.0,True,0.7,True,0.6964285714285714,19,17,18,1.0,3.0,3,1.0,0.9473684210526315,0.5933742523193359,0.6953346729278564,-0.05326973300269011,0.0
20260309T073122Z,p06_translate_good_night_to_spanish,raw,none,none,,True,3.9336750507354736,2.079533100128174,2.013092279434204,1.0,0.7892958010132853,0.006835888003503812,1.0,True,1.0,True,1.0,9,,9,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p06_translate_good_night_to_spanish,compressed,compressed,compressed_shorter,,True,4.8666911125183105,6.436237812042236,6.311686038970947,1.0,0.6140474661294613,0.010513319324047492,0.8,True,0.3333333333333333,False,-1.75,9,6,6,3.0,2.0,2,3.0,0.6666666666666666,0.9330160617828369,4.3567047119140625,-0.17524833488382408,-0.19999999999999996
20260309T073122Z,p07_write_a_short_python_function_that_r,raw,none,none,,True,2.691221237182617,8.742572784423828,8.584917068481445,1.0,0.8277930914887095,0.007741198869705099,0.9,True,1.0,True,1.0,14,,14,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p07_write_a_short_python_function_that_r,compressed,compressed,compressed_shorter,,True,2.8503284454345703,8.707987785339355,8.567846298217773,1.0,0.8223929464489901,0.0059835608503000706,0.9,True,0.8,True,0.9047619047619048,14,16,11,3.0,3.0,3,3.0,0.7857142857142857,0.15910720825195312,-0.034584999084472656,-0.005400145039719417,0.0
20260309T073122Z,p08_explain_why_the_statement_all_swans_,raw,none,none,,True,2.655712366104126,4.120473384857178,4.034493923187256,1.0,0.7972605562284198,0.00815751078883606,0.9,True,1.0,True,1.0,17,,17,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T073122Z,p08_explain_why_the_statement_all_swans_,compressed,compressed,compressed_shorter,,True,2.641754627227783,4.129948616027832,4.0613837242126465,1.0,0.7859594195582497,0.006896580534870309,1.0,True,0.8,True,0.45238095238095233,17,14,15,2.0,4.0,4,2.0,0.8823529411764706,-0.013957738876342773,0.009475231170654297,-0.011301136670170187,0.09999999999999998
