ts,prompt_id,variant,compression_mode,compression_outcome,compression_rejection_reason,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,attempted_token_count,effective_token_count,token_delta,attempted_token_delta,attempted_tokens_saved,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260308T135415Z,p01_king_is_to_queen_as_man_is_to,raw,none,none,,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p01_king_is_to_queen_as_man_is_to,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,7,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p02_the_opposite_of_hot_is,raw,none,none,,True,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False,1.0,True,1.0,5,,5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p02_the_opposite_of_hot_is,compressed,raw_fallback,raw_fallback,coverage_below_threshold,True,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False,1.0,True,1.0,5,4,5,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p03_who_was_the_president_of_france_in_1,raw,none,none,,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,,10,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p03_who_was_the_president_of_france_in_1,compressed,compressed,compressed_shorter,,True,5.3089094161987305,7.348896503448486,7.227702617645264,1.0,0.6694959562220225,0.009989450311075277,0.6,False,0.6,True,0.48571428571428577,10,9,8,2.0,1.0,1,2.0,0.8,-0.841437816619873,0.5340604782104492,-0.0032616871987768414,-0.4
20260308T135415Z,p04_if_all_roses_are_flowers_and_some_fl,raw,none,none,,True,4.916565895080566,8.636602401733398,8.530171394348145,1.0,0.43276177710507296,0.013001633546488256,0.9,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p04_if_all_roses_are_flowers_and_some_fl,compressed,compressed,compressed_shorter,,True,5.436392784118652,8.252116203308105,8.135167121887207,1.0,0.5879816541815619,0.010069914393731741,0.8,True,0.7777777777777778,True,0.6785714285714286,19,21,17,2.0,2.0,2,2.0,0.8947368421052632,0.5198268890380859,-0.38448619842529297,0.15521987707648893,-0.09999999999999998
20260308T135415Z,p05_summarize_the_sentence_the_quick_bro,raw,none,none,,True,2.8439908027648926,3.0544755458831787,2.9267523288726807,1.0,0.43785981534348517,0.010422925641454679,1.0,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p05_summarize_the_sentence_the_quick_bro,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,2.8439908027648926,3.0544755458831787,2.9267523288726807,1.0,0.43785981534348517,0.010422925641454679,1.0,True,1.0,True,1.0,19,20,19,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p06_translate_good_night_to_spanish,raw,none,none,,True,3.9336752891540527,2.079526662826538,2.0130856037139893,1.0,0.7892964228290683,0.006835886602761786,1.0,True,1.0,True,1.0,9,,9,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p06_translate_good_night_to_spanish,compressed,raw_fallback,raw_fallback,coverage_below_threshold,True,3.9336752891540527,2.079526662826538,2.0130856037139893,1.0,0.7892964228290683,0.006835886602761786,1.0,True,1.0,True,1.0,9,6,9,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p07_write_a_short_python_function_that_r,raw,none,none,,True,2.6912214756011963,8.742573738098145,8.584917068481445,1.0,0.8277931342791292,0.007741204384362309,0.9,True,1.0,True,1.0,14,,14,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p07_write_a_short_python_function_that_r,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,2.6912214756011963,8.742573738098145,8.584917068481445,1.0,0.8277931342791292,0.007741204384362309,0.9,True,1.0,True,1.0,14,19,14,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p08_explain_why_the_statement_all_swans_,raw,none,none,,True,2.655712366104126,4.120472431182861,4.034493446350098,1.0,0.7972607644681601,0.008157507719451113,0.9,True,1.0,True,1.0,17,,17,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T135415Z,p08_explain_why_the_statement_all_swans_,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,2.655712366104126,4.120472431182861,4.034493446350098,1.0,0.7972607644681601,0.008157507719451113,0.9,True,1.0,True,1.0,17,18,17,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
