ts,prompt_id,variant,compression_mode,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,effective_token_count,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260308T122617Z,p01_king_is_to_queen_as_man_is_to,raw,none,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,8,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p01_king_is_to_queen_as_man_is_to,compressed,compressed,True,4.463172912597656,1.8948771953582764,1.8291927576065063,1.0,0.4779586173818476,0.011611359678773636,0.8,True,0.0,False,,8,4,4,0.5,-2.0038561820983887,-2.0562915802001953,-0.4170550281064758,0.7000000000000001
20260308T122617Z,p01_king_is_to_queen_as_man_is_to,compressed_vectorized_proxy_mean,compressed,True,1.9270944595336914,4.487440586090088,4.499763011932373,1.0,0.3130752059980872,0.024549902440868458,0.4,False,0.0,False,,8,21,0,2.625,-4.5399346351623535,0.5362718105316162,-0.5819384394902363,0.30000000000000004
20260308T122617Z,p01_king_is_to_queen_as_man_is_to,compressed_vectorized_proxy_attn_weighted,compressed,True,1.9270944595336914,4.487440586090088,4.499763011932373,1.0,0.3130752059980872,0.024549902440868458,0.4,False,0.0,False,,8,21,0,2.625,-4.5399346351623535,0.5362718105316162,-0.5819384394902363,0.30000000000000004
20260308T122617Z,p01_king_is_to_queen_as_man_is_to,compressed_vectorized_proxy_pca1,compressed,True,2.970348358154297,5.769430637359619,5.632809162139893,1.0,0.7825063458606458,0.007488330803983955,0.3,False,0.0,False,,8,20,0,2.5,-3.496680736541748,1.8182618618011475,-0.11250729962767758,0.19999999999999998
20260308T122617Z,p02_the_opposite_of_hot_is,raw,none,True,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False,1.0,True,1.0,5,5,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p02_the_opposite_of_hot_is,compressed,raw_fallback,True,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False,1.0,True,1.0,5,5,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p02_the_opposite_of_hot_is,compressed_vectorized_proxy_mean,raw_fallback,True,0.6060308218002319,6.501902103424072,6.420859336853027,1.0,0.7204362774602541,0.010726352077359646,0.8,True,0.0,False,,5,20,0,4.0,-5.2160035371780396,2.2722344398498535,0.15884502850366444,0.5
20260308T122617Z,p02_the_opposite_of_hot_is,compressed_vectorized_proxy_attn_weighted,raw_fallback,True,0.6060308218002319,6.501902103424072,6.420859336853027,1.0,0.7204362774602541,0.010726352077359646,0.8,True,0.0,False,,5,20,0,4.0,-5.2160035371780396,2.2722344398498535,0.15884502850366444,0.5
20260308T122617Z,p02_the_opposite_of_hot_is,compressed_vectorized_proxy_pca1,raw_fallback,True,2.4660396575927734,4.129690647125244,3.998976230621338,1.0,0.4853990693741123,0.010330007076919775,0.9,True,0.0,False,,5,21,0,4.2,-3.355994701385498,-0.09997701644897461,-0.07619217958247732,0.6000000000000001
