ts,prompt_id,variant,compression_mode,compression_outcome,compression_rejection_reason,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,attempted_token_count,effective_token_count,token_delta,attempted_token_delta,attempted_tokens_saved,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260309T092211Z,p01_king_is_to_queen_as_man_is_to,raw,none,none,,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p01_king_is_to_queen_as_man_is_to,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,7,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p02_the_opposite_of_hot_is,raw,none,none,,True,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False,1.0,True,1.0,5,,5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p03_who_was_the_president_of_france_in_1,raw,none,none,,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,,10,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p03_who_was_the_president_of_france_in_1,compressed,raw_fallback,raw_fallback,non_compressive_short_prompt,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,9,10,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p04_if_all_roses_are_flowers_and_some_fl,raw,none,none,,True,4.916565895080566,8.636602401733398,8.530171394348145,1.0,0.43276177710507296,0.013001633546488256,0.9,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p04_if_all_roses_are_flowers_and_some_fl,compressed,raw_fallback,raw_fallback,non_compressive_short_prompt,True,4.916565895080566,8.636602401733398,8.530171394348145,1.0,0.43276177710507296,0.013001633546488256,0.9,True,1.0,True,1.0,19,21,19,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p05_summarize_the_sentence_the_quick_bro,raw,none,none,,True,2.8439908027648926,3.0544755458831787,2.9267523288726807,1.0,0.43785981534348517,0.010422925641454679,1.0,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p05_summarize_the_sentence_the_quick_bro,compressed,compressed,compressed_shorter,,True,3.4373648166656494,3.749809980392456,3.6380107402801514,1.0,0.38459012562554773,0.011201654490016838,1.0,True,0.7,True,0.6964285714285714,19,17,18,1.0,3.0,3,1.0,0.9473684210526315,0.5933740139007568,0.6953344345092773,-0.05326968971793744,0.0
20260309T092211Z,p06_translate_good_night_to_spanish,raw,none,none,,True,3.9336752891540527,2.079526662826538,2.0130856037139893,1.0,0.7892964228290683,0.006835886602761786,1.0,True,1.0,True,1.0,9,,9,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p06_translate_good_night_to_spanish,compressed,compressed,compressed_shorter,,True,4.866691589355469,6.436239719390869,6.311688423156738,1.0,0.614047710959708,0.01051332406518246,0.8,True,0.3333333333333333,False,-1.75,9,6,6,3.0,2.0,2,3.0,0.6666666666666666,0.933016300201416,4.356713056564331,-0.1752487118693603,-0.19999999999999996
20260309T092211Z,p07_write_a_short_python_function_that_r,raw,none,none,,True,2.6912214756011963,8.742573738098145,8.584917068481445,1.0,0.8277931342791292,0.007741204384362309,0.9,True,1.0,True,1.0,14,,14,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p07_write_a_short_python_function_that_r,compressed,compressed,compressed_shorter,,True,2.850328207015991,8.707985877990723,8.567845344543457,1.0,0.8223931482191372,0.005983565225397334,0.9,True,0.8,True,0.9047619047619048,14,16,11,3.0,3.0,3,3.0,0.7857142857142857,0.15910673141479492,-0.034587860107421875,-0.005399986059991924,0.0
20260309T092211Z,p08_explain_why_the_statement_all_swans_,raw,none,none,,True,2.655712366104126,4.120472431182861,4.034493446350098,1.0,0.7972607644681601,0.008157507719451113,0.9,True,1.0,True,1.0,17,,17,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260309T092211Z,p08_explain_why_the_statement_all_swans_,compressed,compressed,compressed_shorter,,True,2.641754388809204,4.129949569702148,4.061384677886963,1.0,0.7859600933049666,0.006896576509760358,1.0,True,0.8,True,0.45238095238095233,17,14,15,2.0,4.0,4,2.0,0.8823529411764706,-0.013957977294921875,0.00947713851928711,-0.011300671163193443,0.09999999999999998
