ts,prompt_id,variant,compression_mode,compression_outcome,compression_rejection_reason,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,attempted_token_count,effective_token_count,token_delta,attempted_token_delta,attempted_tokens_saved,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260308T142252Z,anchored_01,raw,none,none,,True,5.122995376586914,0.6914474964141846,0.5492606163024902,0.5487922593057463,0.9101140670774309,0.006637285684897878,0.2,False,1.0,True,1.0,4,,4,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,anchored_01,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,5.122995376586914,0.6914474964141846,0.5492606163024902,0.5487922593057463,0.9101140670774309,0.006637285684897878,0.2,False,1.0,True,1.0,4,48,4,0.0,-47.0,-47,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,anchored_02,raw,none,none,,True,5.1633124351501465,8.245718002319336,8.110383033752441,1.0,0.6638556566966416,0.010885276849163836,0.7,False,1.0,True,1.0,7,,7,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,anchored_02,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,5.1633124351501465,8.245718002319336,8.110383033752441,1.0,0.6638556566966416,0.010885276849163836,0.7,False,1.0,True,1.0,7,7,7,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,anchored_03,raw,none,none,,True,6.335186004638672,4.5175981521606445,4.418461322784424,1.0,0.5637600530133643,0.009292866432483301,0.3,False,1.0,True,1.0,5,,5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,anchored_03,compressed,raw_fallback,raw_fallback,coverage_below_threshold,True,6.335186004638672,4.5175981521606445,4.418461322784424,1.0,0.5637600530133643,0.009292866432483301,0.3,False,1.0,True,1.0,5,4,5,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,reasoning_01,raw,none,none,,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,reasoning_01,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,7,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,reasoning_02,raw,none,none,,True,5.923001766204834,3.962442636489868,3.8189280033111572,1.0,0.7745643316831143,0.013519265367174464,0.0,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,reasoning_02,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,5.923001766204834,3.962442636489868,3.8189280033111572,1.0,0.7745643316831143,0.013519265367174464,0.0,False,1.0,True,1.0,8,9,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,reasoning_03,raw,none,none,,True,2.7446203231811523,6.544732570648193,6.411713123321533,1.0,0.8047164566252751,0.007285975721852879,1.0,True,1.0,True,1.0,10,,10,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,reasoning_03,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,2.7446203231811523,6.544732570648193,6.411713123321533,1.0,0.8047164566252751,0.007285975721852879,1.0,True,1.0,True,1.0,10,13,10,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,transition_01,raw,none,none,,True,3.7858633995056152,4.697227954864502,4.585573673248291,1.0,0.46275537571450986,0.012906004322731245,0.6,False,1.0,True,1.0,18,,18,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,transition_01,compressed,compressed,compressed_shorter,,True,4.997766017913818,5.581058025360107,5.446158409118652,1.0,0.9030549610308889,0.003706830261371909,0.8,True,0.0,False,,18,20,17,1.0,4.0,4,1.0,0.9444444444444444,1.2119026184082031,0.8838300704956055,0.440299585316379,0.20000000000000007
20260308T142252Z,transition_02,raw,none,none,,True,4.563712120056152,7.146081924438477,7.0198798179626465,1.0,0.7647583681956778,0.0065332367428746025,1.0,True,1.0,True,1.0,30,,30,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,transition_02,compressed,raw_fallback,raw_fallback,numeric_anchor_lost,True,4.563712120056152,7.146081924438477,7.0198798179626465,1.0,0.7647583681956778,0.0065332367428746025,1.0,True,1.0,True,1.0,30,11,30,0.0,21.0,21,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,transition_03,raw,none,none,,True,3.0825541019439697,4.256125450134277,4.073827743530273,1.0,0.8464804272488818,0.008036728679607488,0.9,True,1.0,True,1.0,11,,11,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,transition_03,compressed,compressed,compressed_shorter,,True,4.950547218322754,6.765100479125977,6.634657382965088,1.0,0.5224548342884441,0.006688234446248023,0.8,True,0.1,False,,11,15,11,0.0,1.0,1,0.0,1.0,1.8679931163787842,2.508975028991699,-0.32402559296043776,-0.09999999999999998
20260308T142252Z,contrast_degeneracy_01,raw,none,none,,True,3.261909008026123,7.2399067878723145,7.1588006019592285,1.0,0.45033352066692883,0.009510594552332384,1.0,True,1.0,True,1.0,19,,19,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,contrast_degeneracy_01,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,3.261909008026123,7.2399067878723145,7.1588006019592285,1.0,0.45033352066692883,0.009510594552332384,1.0,True,1.0,True,1.0,19,28,19,0.0,-2.0,-2,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,hallucination_01,raw,none,none,,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,,10,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T142252Z,hallucination_01,compressed,compressed,compressed_shorter,,True,5.3089094161987305,7.348896503448486,7.227702617645264,1.0,0.6694959562220225,0.009989450311075277,0.6,False,0.6,True,0.48571428571428577,10,9,8,2.0,1.0,1,2.0,0.8,-0.841437816619873,0.5340604782104492,-0.0032616871987768414,-0.4
