ts,prompt_id,variant,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate
20260305T134253Z,p01_king_is_to_queen_as_man_is_to,raw,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False
20260305T134253Z,p01_king_is_to_queen_as_man_is_to,compressed,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False
20260305T134253Z,p01_king_is_to_queen_as_man_is_to,compressed_vectorized_proxy,1.4401602745056152,5.464645862579346,5.347316265106201,1.0,0.500297312594823,0.012335695165981883,0.9,True
20260305T134253Z,p02_who_was_the_president_of_france_in_1,raw,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True
20260305T134253Z,p02_who_was_the_president_of_france_in_1,compressed,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True
20260305T134253Z,p02_who_was_the_president_of_france_in_1,compressed_vectorized_proxy,3.3184192180633545,5.945913791656494,5.816993236541748,1.0,0.6308531879924976,0.01030363820424939,0.6,False
20260305T134253Z,p03_the_opposite_of_hot_is,raw,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False
20260305T134253Z,p03_the_opposite_of_hot_is,compressed,5.8220343589782715,4.229667663574219,4.137886047363281,1.0,0.5615912489565896,0.009096294705014133,0.3,False
20260305T134253Z,p03_the_opposite_of_hot_is,compressed_vectorized_proxy,3.9727437496185303,8.181720733642578,8.115041732788086,1.0,0.07141216578301708,0.02082032971349813,0.1,False
