prompt_id,layer,token_index,subspace_x_baseline,subspace_y_baseline,subspace_operator_strength_baseline,subspace_x_observer,subspace_y_observer,subspace_operator_strength_observer,point_distance
anchored_01,3,3,-1.4401683807373047,0.2750803232192993,1.466204047203064,-1.373565673828125,-0.03231978416442871,1.3739458322525024,0.31453258430114617
anchored_01,5,3,-0.09579098224639893,-0.2961740493774414,0.3112795948982239,-0.2778656482696533,-0.47379136085510254,0.5492609143257141,0.25436016461708805
anchored_01,6,3,0.36985647678375244,0.3840937614440918,0.5332183837890625,0.6406471729278564,0.38822078704833984,0.7490955591201782,0.27082214358974893
anchored_01,9,3,1.281165361404419,2.634732484817505,2.9297099113464355,2.5754802227020264,3.364410877227783,4.237022399902344,1.4858268797293623
anchored_01,12,3,-0.0958782434463501,-7.777809143066406,7.778400421142578,3.208618640899658,-0.08067464828491211,3.2096328735351562,8.37648966389905
anchored_02,3,6,-7.518730163574219,-3.1096692085266113,8.136421203613281,-5.770148277282715,-3.6688997745513916,6.837794780731201,1.8358315388518496
anchored_02,5,6,-8.053455352783203,-2.809312343597412,8.529383659362793,-6.984053611755371,-4.123262405395508,8.110382080078125,1.6941324767008565
anchored_02,6,6,-7.544990539550781,-2.711669921875,8.01748275756836,-7.168498992919922,-4.431620121002197,8.427729606628418,1.7606744651303892
anchored_02,9,6,-4.941984176635742,0.409320592880249,4.958906173706055,-6.152080535888672,-0.26493728160858154,6.157782554626465,1.385264191404438
anchored_02,12,6,-1.047829508781433,-9.72449779510498,9.780787467956543,1.7916383743286133,-1.0773842334747314,2.090627908706665,9.101381807557752
anchored_03,3,4,-3.6637775897979736,-2.9037880897521973,4.674960136413574,-3.058041572570801,-4.160085201263428,5.163131237030029,1.3947037516826644
anchored_03,5,4,-3.885080337524414,-1.7892951965332031,4.277315616607666,-3.2281298637390137,-3.0169479846954346,4.418460845947266,1.3923775685098359
anchored_03,6,4,-3.9383115768432617,-0.6662731170654297,3.9942731857299805,-2.180415153503418,-1.5358049869537354,2.6670033931732178,1.9611949183960447
anchored_03,9,4,-2.6391494274139404,3.711132049560547,4.55385684967041,-1.1922627687454224,2.958564281463623,3.1897637844085693,1.6309013607852971
anchored_03,12,4,-0.382572203874588,-8.134847640991211,8.143838882446289,2.9419755935668945,-0.8713736534118652,3.068307638168335,7.988158262435391
