prompt_id,layer_count,mean_point_distance,max_point_distance,baseline_path_length,observer_path_length,path_length_delta
contrast_degeneracy_01,5,4.0049129454361285,8.418206627385626,20.56054397655166,18.289789625813327,-2.2707543507383328
random_baseline_math_01,5,3.966465298002757,11.330707211739506,15.22496524720165,9.990978230467185,-5.233987016734465
hallucination_01,5,3.7996310396650346,10.131819193146482,16.65068393438802,10.617439592096007,-6.033244342292013
random_baseline_degeneracy_01,5,3.758909115522632,10.823251509333968,18.518344759817495,13.39488251363684,-5.1234622461806545
reasoning_03,5,3.660962058486047,9.395283739859858,16.32013023811508,16.76182807223749,0.44169783412240804
hallucination_02,5,3.5715953155420315,9.53425173432135,18.309041880488085,14.159144419403445,-4.14989746108464
random_baseline_recall_01,5,3.2106898680353098,9.53338930656622,16.47721255841502,13.842141830601864,-2.6350707278131544
transition_02,5,3.195357778601691,12.511999597103742,15.40821730855962,12.981709093278992,-2.426508215280627
anchored_02,5,3.155456895929057,9.101381807557752,16.051353239221903,13.929485110105034,-2.1218681291168693
transition_01,5,3.1458187836597893,8.906423971787143,9.324124726526733,9.544925915997439,0.2208011894707056
hallucination_03,5,2.882009001370733,9.236973166941711,16.92597895404476,15.141658109747135,-1.784320844297623
anchored_03,5,2.873467172361847,7.988158262435391,18.885655976922543,13.207317722360155,-5.678338254562387
transition_03,5,2.6803329059566368,9.140818980996269,19.964612500037724,8.903091488203966,-11.061521011833758
reasoning_01,5,2.583692044114959,8.767277824775059,14.385060104566971,10.724840491682667,-3.6602196128843048
reasoning_02,5,2.5197832615515052,9.227456579284919,16.575662402178367,12.237393332663746,-4.33826906951462
anchored_01,5,2.1404062872272793,8.37648966389905,15.216428358759241,9.493559695274062,-5.72286866348518
