prompt_id,layer,token_index,subspace_x_baseline,subspace_y_baseline,subspace_operator_strength_baseline,subspace_x_observer,subspace_y_observer,subspace_operator_strength_observer,point_distance
anchored_01,3,3,-1.3735647201538086,-0.0323185920715332,1.373944878578186,-1.373565673828125,-0.03231978416442871,1.3739458322525024,1.5266237824995157e-06
anchored_01,5,3,-0.2778642177581787,-0.47379183769226074,0.5492606163024902,-0.2778656482696533,-0.47379136085510254,0.5492609143257141,1.5078914929239175e-06
anchored_01,6,3,0.6406488418579102,0.38821983337402344,0.7490965127944946,0.6406471729278564,0.38822078704833984,0.7490955591201782,1.922192036699903e-06
anchored_01,9,3,2.5754799842834473,3.3644089698791504,4.237020969390869,2.5754802227020264,3.364410877227783,4.237022399902344,1.922192036699903e-06
anchored_01,12,3,3.2086172103881836,-0.0806739330291748,3.2096312046051025,3.208618640899658,-0.08067464828491211,3.2096328735351562,1.5993604499100135e-06
anchored_02,3,6,-5.770147323608398,-3.668898105621338,6.837792873382568,-5.770148277282715,-3.6688997745513916,6.837794780731201,1.922192036699903e-06
anchored_02,5,6,-6.9840545654296875,-4.123263359069824,8.110383033752441,-6.984053611755371,-4.123262405395508,8.110382080078125,1.3486991523486091e-06
anchored_02,6,6,-7.16849946975708,-4.4316229820251465,8.427732467651367,-7.168498992919922,-4.431620121002197,8.427729606628418,2.900487198971853e-06
anchored_02,9,6,-6.152080535888672,-0.26493942737579346,6.157783031463623,-6.152080535888672,-0.26493728160858154,6.157782554626465,2.1457672119140625e-06
anchored_02,12,6,1.7916364669799805,-1.0773839950561523,2.0906260013580322,1.7916383743286133,-1.0773842334747314,2.090627908706665,1.922192036699903e-06
anchored_03,3,4,-3.0580413341522217,-4.160085201263428,5.163131237030029,-3.058041572570801,-4.160085201263428,5.163131237030029,2.384185791015625e-07
anchored_03,5,4,-3.228130340576172,-3.0169482231140137,4.418461322784424,-3.2281298637390137,-3.0169479846954346,4.418460845947266,5.331201499700045e-07
anchored_03,6,4,-2.180413246154785,-1.5358057022094727,2.6670022010803223,-2.180415153503418,-1.5358049869537354,2.6670033931732178,2.037049232797034e-06
anchored_03,9,4,-1.1922645568847656,2.958564519882202,3.1897647380828857,-1.1922627687454224,2.958564281463623,3.1897637844085693,1.8039638937022157e-06
anchored_03,12,4,2.941976547241211,-0.8713738918304443,3.0683088302612305,2.9419755935668945,-0.8713736534118652,3.068307638168335,9.830249847454215e-07
reasoning_01,3,7,-4.748172760009766,-1.6507360935211182,5.02693510055542,-4.748172760009766,-1.6507364511489868,5.02693510055542,3.5762786865234375e-07
reasoning_01,5,7,-3.694957733154297,-0.702993631362915,3.7612380981445312,-3.694955825805664,-0.7029924392700195,3.7612361907958984,2.2492363767758854e-06
reasoning_01,6,7,-3.0724716186523438,0.23839926719665527,3.0817065238952637,-3.072467803955078,0.23839831352233887,3.081702947616577,3.932099938981686e-06
reasoning_01,9,7,-0.12227678298950195,2.3141183853149414,2.3173468112945557,-0.12227821350097656,2.314116954803467,2.317345142364502,2.0230487285229133e-06
reasoning_01,12,7,3.7457962036132812,-0.12361955642700195,3.747835636138916,3.7457950115203857,-0.12362098693847656,3.7478342056274414,1.8621086301581035e-06
reasoning_02,3,7,-4.6148786544799805,-1.5984127521514893,4.883853912353516,-4.6148786544799805,-1.5984117984771729,4.883853435516357,9.5367431640625e-07
reasoning_02,5,7,-3.745070457458496,-0.7474339008331299,3.8189280033111572,-3.745070457458496,-0.7474343776702881,3.8189280033111572,4.76837158203125e-07
reasoning_02,6,7,-3.370575189590454,0.3453240394592285,3.388218641281128,-3.3705737590789795,0.345325231552124,3.3882174491882324,1.8621086301581035e-06
reasoning_02,9,7,-1.220810890197754,3.4025769233703613,3.6149563789367676,-1.2208099365234375,3.402580738067627,3.614959716796875,3.932099938981686e-06
reasoning_02,12,7,3.5387306213378906,-0.4573192596435547,3.5681586265563965,3.538731336593628,-0.4573183059692383,3.5681591033935547,1.1920928955078125e-06
reasoning_03,3,9,-5.324679374694824,-0.4445415735244751,5.343204021453857,-5.324681282043457,-0.4445415735244751,5.343205451965332,1.9073486328125e-06
reasoning_03,5,9,-6.376706123352051,0.669093906879425,6.411713123321533,-6.376705169677734,0.6690924763679504,6.411712169647217,1.7192608239479013e-06
reasoning_03,6,9,-6.171262741088867,1.4395031929016113,6.336927890777588,-6.171262741088867,1.4395020008087158,6.33692741394043,1.1920928955078125e-06
reasoning_03,9,9,-8.606132507324219,3.295802354812622,9.215629577636719,-8.606130599975586,3.2958006858825684,9.215627670288086,2.5344242603146195e-06
reasoning_03,12,9,2.1582448482513428,-0.3678469657897949,2.1893680095672607,2.1582460403442383,-0.3678469657897949,2.1893692016601562,1.1920928955078125e-06
transition_01,3,17,-4.066600322723389,-3.3814873695373535,5.288827419281006,-4.066599369049072,-3.3814878463745117,5.288826942443848,1.066240299940009e-06
transition_01,5,17,-3.3908514976501465,-3.0870068073272705,4.585573673248291,-3.3908514976501465,-3.087007999420166,4.585574626922607,1.1920928955078125e-06
transition_01,6,17,-2.984628677368164,-1.8091330528259277,3.4901247024536133,-2.9846303462982178,-1.809134840965271,3.4901270866394043,2.44597012146511e-06
transition_01,9,17,-2.7831130027770996,-0.5984506607055664,2.8467280864715576,-2.783118724822998,-0.5984554290771484,2.8467347621917725,7.448434520632414e-06
transition_01,12,17,3.427513837814331,-1.1987740993499756,3.631103277206421,3.4275147914886475,-1.198775053024292,3.6311044692993164,1.3486991523486091e-06
